ID,SEX,Distance_flown,distance_walked,resting_time,walking_velocity,free_fall,death_feigning,body_righting,intra_interaction,inter_interaction,Wingbeat,Dead
589,F,1.485,286,446.9,0.64,22,3.73,1.49,0,0,22,4
590,F,1.434,200.4,318.7,0.6288,6,10.13,1.39,14.36,0,25,6
591,F,0.773,443.1,399.8,1.1083,6,47.83,2.65,11.48,2.49,3,7
592,F,0.64,290.5,409.2,0.7099,6,3.96,0.58,12,0.08,24,16
593,F,0.811,247.6,386.8,0.6401,22,24.31,1.06,0,0,12,148
594,F,0.443,319.2,437.8,0.7291,18,8.02,0.7,0,3.43,8,28
595,F,0.988,284.7,421.1,0.6761,6,5.74,1.05,0,4.45,14,11
596,F,0.598,328.4,449.8,0.7301,22,7.67,0.69,0,0,4,6
597,F,0.598,322.3,486.2,0.6629,22,21.62,2.27,0,0,5,11
598,F,0.529,252.8,388.5,0.6507,6,5.42,0.88,0,3.56,1,20
599,F,1.095,234.8,382.3,0.6142,6,15.69,0.94,6.42,7.16,5,16
600,F,0.828,308.8,451.3,0.6842,6,32.78,1.81,0,0.56,2,56
601,F,0.694,196.9,346.5,0.5683,6,2.87,1.01,0,0,3,10
602,F,0.92,289.5,419.7,0.6898,6,33.45,2.13,0,6.18,0,48
603,F,0.767,320.5,461.2,0.6949,6,32.08,3.66,2.46,0.36,10,5
604,F,0.647,297,438.8,0.6768,6,2.32,1.29,6.02,0,12,168
