mating,treatment,total.l.c,fore.w.c,coef.activity,slope.activity.nbmales.c,coef.agg,nbmales.c,nbfemales.c,ham,id_exp,stream,date,timestep,total.l.c.z,fore.w.c.z,coef.activity.z,slope.activity.nbmales.c.z,coef.agg.z,nbmales.c.z,nbfemales.c.z
0,1,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,0.087426326,-0.173870334,NO,9,1,4/26/2011,4,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,0.042979254,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,1.087426326,-0.173870334,NO,9,1,4/26/2011,3,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,0.534584647,-0.374202217
0,0,-0.411057466,0.025452603,-1.095819084,0.039534984,-0.307809923,-1.912573674,-0.173870334,NO,9,1,4/29/2011,23,-0.502017858,0.394470541,-1.465902778,0.884620371,-1.465914104,-0.940231534,-0.374202217
0,0,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,-0.912573674,-0.173870334,NO,10,1,5/01/2011,40,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,-0.44862614,-0.374202217
0,1,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,-1.912573674,-0.173870334,NO,10,1,4/30/2011,34,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,-0.940231534,-0.374202217
0,0,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,1.087426326,-0.173870334,NO,10,1,4/29/2011,23,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,0.534584647,-0.374202217
0,0,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,-0.912573674,-0.173870334,NO,10,1,5/01/2011,43,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,-0.44862614,-0.374202217
0,1,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,5.087426326,-0.173870334,NO,10,1,4/29/2011,26,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,2.501006222,-0.374202217
0,1,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,3.087426326,-0.173870334,NO,10,1,4/29/2011,27,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,1.517795434,-0.374202217
0,1,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,5.087426326,-0.173870334,NO,10,1,4/26/2011,6,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,2.501006222,-0.374202217
1,0,-0.007057466,0.025452603,0.384701675,0.043604069,0.034670349,-0.912573674,-0.173870334,NO,10,1,5/01/2011,41,-0.008619169,0.394470541,0.498932392,0.977910376,0.205105339,-0.44862614,-0.374202217
